,Trial,Treatment,FI,BIX,HIX,ABS254,Burn,Precipitation,Drainage,Forest,Elevation,Developed Land,Impervious Land,Herb Land,Slope,t0,t28
0,1.0,2.0,1.71,0.752,8.91,0.12,1.0,1.9116666666666664,236.0,64.8,7320.0,0.8,0.0995,3.55,52.3,7.948749999583277,6.504375
1,1.0,1.0,1.71,0.752,8.91,0.12,1.0,1.9116666666666664,236.0,64.8,7320.0,0.8,0.0995,3.55,52.3,7.948749998201932,13.09858333
2,1.0,4.0,1.72,0.739,9.03,0.142,1.0,1.9116666666666664,236.0,64.8,7320.0,0.8,0.0995,3.55,52.3,7.948750000353292,6.305375
3,1.0,3.0,1.72,0.739,9.03,0.142,1.0,1.9116666666666664,236.0,64.8,7320.0,0.8,0.0995,3.55,52.3,21.78194157022072,13.41033333
4,2.0,2.0,1.66,0.817,7.5,0.0903,1.0,1.9116666666666664,236.0,64.8,7320.0,0.8,0.0995,3.55,52.3,4.2153749999154755,2.765375
5,2.0,1.0,1.66,0.817,7.5,0.0903,1.0,1.9116666666666664,236.0,64.8,7320.0,0.8,0.0995,3.55,52.3,4.215375000184642,3.633375
6,2.0,4.0,1.67,0.808,6.9,0.0831,1.0,1.9116666666666664,236.0,64.8,7320.0,0.8,0.0995,3.55,52.3,4.215374999937851,2.59525
7,2.0,3.0,1.67,0.808,6.9,0.0831,1.0,1.9116666666666664,236.0,64.8,7320.0,0.8,0.0995,3.55,52.3,4.215375000350861,21.297
8,1.0,2.0,1.66,0.698,4.34,0.0679,1.0,2.1399999999999997,150.0,56.7,7090.0,0.38,0.0109,4.84,52.6,4.947874999799107,2.986625
9,1.0,1.0,1.66,0.698,4.34,0.0679,1.0,2.1399999999999997,150.0,56.7,7090.0,0.38,0.0109,4.84,52.6,4.947875000156653,3.9805
10,1.0,4.0,1.63,0.685,4.67,0.0763,1.0,2.1399999999999997,150.0,56.7,7090.0,0.38,0.0109,4.84,52.6,4.947874999998259,4.192625
11,1.0,3.0,1.63,0.685,4.67,0.0763,1.0,2.1399999999999997,150.0,56.7,7090.0,0.38,0.0109,4.84,52.6,4.947874999830055,9.364708333
12,1.0,2.0,1.62,0.643,3.62,0.0757,1.0,2.345,7.69,51.5,7020.0,0.0,0.0,5.91,67.8,5.670750000151183,3.0495
13,1.0,1.0,1.62,0.643,3.62,0.0757,1.0,2.345,7.69,51.5,7020.0,0.0,0.0,5.91,67.8,5.670750000191105,3.0905
14,1.0,4.0,1.63,0.598,8.65,0.0631,1.0,2.345,7.69,51.5,7020.0,0.0,0.0,5.91,67.8,5.67074999910611,3.147208333
15,1.0,3.0,1.63,0.598,8.65,0.0631,1.0,2.345,7.69,51.5,7020.0,0.0,0.0,5.91,67.8,5.670750000122114,8.32525
16,2.0,2.0,1.67,0.689,6.25,0.0529,1.0,2.345,7.69,51.5,7020.0,0.0,0.0,5.91,67.8,2.9499999999917943,1.7975
17,2.0,1.0,1.67,0.689,6.25,0.0529,1.0,2.345,7.69,51.5,7020.0,0.0,0.0,5.91,67.8,2.9499999999847013,1.92825
18,2.0,4.0,1.67,0.807,4.67,0.0451,1.0,2.345,7.69,51.5,7020.0,0.0,0.0,5.91,67.8,2.9500000000287336,1.54
19,2.0,3.0,1.67,0.807,4.67,0.0451,1.0,2.345,7.69,51.5,7020.0,0.0,0.0,5.91,67.8,2.9499999997655006,16.983
20,1.0,2.0,1.68,0.709,6.45,0.0561,1.0,2.364166666666667,18.1,59.8,6640.0,0.0,0.0,4.19,48.0,5.464249999948482,3.054625
21,1.0,1.0,1.68,0.709,6.45,0.0561,1.0,2.364166666666667,18.1,59.8,6640.0,0.0,0.0,4.19,48.0,5.464249999854145,3.328625
22,1.0,4.0,1.69,0.691,6.42,0.0582,1.0,2.364166666666667,18.1,59.8,6640.0,0.0,0.0,4.19,48.0,5.464250000224877,3.058625
23,1.0,3.0,1.69,0.691,6.42,0.0582,1.0,2.364166666666667,18.1,59.8,6640.0,0.0,0.0,4.19,48.0,5.464250000039776,7.63125
24,2.0,2.0,1.67,0.713,7.53,0.0805,1.0,2.364166666666667,18.1,59.8,6640.0,0.0,0.0,4.19,48.0,4.32987500032705,2.61325
25,2.0,1.0,1.67,0.713,7.53,0.0805,1.0,2.364166666666667,18.1,59.8,6640.0,0.0,0.0,4.19,48.0,4.329874999888124,2.978625
26,2.0,4.0,1.68,0.709,5.53,0.0727,1.0,2.364166666666667,18.1,59.8,6640.0,0.0,0.0,4.19,48.0,4.329875000173234,2.502875
27,2.0,3.0,1.68,0.709,5.53,0.0727,1.0,2.364166666666667,18.1,59.8,6640.0,0.0,0.0,4.19,48.0,4.329875000802161,11.31775
28,1.0,2.0,1.64,0.621,6.73,0.0781,0.0,2.2383333333333333,35.8,59.0,7390.0,0.65,0.0195,2.5,55.5,6.514125000356074,3.267125
29,1.0,1.0,1.64,0.621,6.73,0.0781,0.0,2.2383333333333333,35.8,59.0,7390.0,0.65,0.0195,2.5,55.5,6.514125000268056,4.55225
30,1.0,4.0,1.61,0.604,6.33,0.0855,0.0,2.2383333333333333,35.8,59.0,7390.0,0.65,0.0195,2.5,55.5,6.5141250005851745,3.179
31,1.0,3.0,1.61,0.604,6.33,0.0855,0.0,2.2383333333333333,35.8,59.0,7390.0,0.65,0.0195,2.5,55.5,6.514125000084394,11.4855
32,2.0,2.0,1.67,0.681,4.44,0.062,0.0,2.2383333333333333,35.8,59.0,7390.0,0.65,0.0195,2.5,55.5,1.9814999998936076,1.335375
33,2.0,1.0,1.67,0.681,4.44,0.062,0.0,2.2383333333333333,35.8,59.0,7390.0,0.65,0.0195,2.5,55.5,1.9815000003170615,2.135541667
34,2.0,4.0,1.7,0.697,3.29,0.0357,0.0,2.2383333333333333,35.8,59.0,7390.0,0.65,0.0195,2.5,55.5,1.981500000132178,1.2705
35,2.0,3.0,1.7,0.697,3.29,0.0357,0.0,2.2383333333333333,35.8,59.0,7390.0,0.65,0.0195,2.5,55.5,1.9814999993050266,11.94933333
36,1.0,2.0,1.6,0.736,4.33,0.0576,0.0,2.0849999999999995,39.0,60.3,7510.0,0.83,0.0214,5.44,51.1,4.896625000287069,3.620625
37,1.0,1.0,1.6,0.736,4.33,0.0576,0.0,2.0849999999999995,39.0,60.3,7510.0,0.83,0.0214,5.44,51.1,4.896624999794045,3.68575
38,1.0,4.0,1.62,0.709,5.92,0.057,0.0,2.0849999999999995,39.0,60.3,7510.0,0.83,0.0214,5.44,51.1,4.896625000115091,3.788125
39,1.0,3.0,1.62,0.709,5.92,0.057,0.0,2.0849999999999995,39.0,60.3,7510.0,0.83,0.0214,5.44,51.1,4.896625000238769,13.212125
40,2.0,2.0,1.62,0.75,4.21,0.0743,0.0,2.0849999999999995,39.0,60.3,7510.0,0.83,0.0214,5.44,51.1,3.586250000127451,2.775125
41,2.0,1.0,1.62,0.75,4.21,0.0743,0.0,2.0849999999999995,39.0,60.3,7510.0,0.83,0.0214,5.44,51.1,3.5862499998748136,3.94975
42,2.0,4.0,1.62,0.734,3.99,0.0685,0.0,2.0849999999999995,39.0,60.3,7510.0,0.83,0.0214,5.44,51.1,3.5862500003302746,2.690166667
43,2.0,3.0,1.62,0.734,3.99,0.0685,0.0,2.0849999999999995,39.0,60.3,7510.0,0.83,0.0214,5.44,51.1,3.5862499996154,9.627666667
44,1.0,2.0,1.59,0.687,5.53,0.0551,0.0,1.9808333333333337,17.0,58.2,7480.0,0.0748,0.00588,3.86,53.8,4.342249999741274,2.334125
45,1.0,1.0,1.59,0.687,5.53,0.0551,0.0,1.9808333333333337,17.0,58.2,7480.0,0.0748,0.00588,3.86,53.8,4.342250000074458,3.52825
46,1.0,4.0,1.57,0.706,2.46,0.067,0.0,1.9808333333333337,17.0,58.2,7480.0,0.0748,0.00588,3.86,53.8,4.342250000061136,2.446875
47,1.0,3.0,1.57,0.706,2.46,0.067,0.0,1.9808333333333337,17.0,58.2,7480.0,0.0748,0.00588,3.86,53.8,4.342249999368123,9.70325
48,2.0,2.0,1.66,0.692,8.17,0.0659,0.0,1.9808333333333337,17.0,58.2,7480.0,0.0748,0.00588,3.86,53.8,3.6206250002293627,2.429
49,2.0,1.0,1.66,0.692,8.17,0.0659,0.0,1.9808333333333337,17.0,58.2,7480.0,0.0748,0.00588,3.86,53.8,3.6206249997469864,2.475625
50,2.0,4.0,1.66,0.695,6.23,0.0576,0.0,1.9808333333333337,17.0,58.2,7480.0,0.0748,0.00588,3.86,53.8,3.620624999801212,2.228875
51,2.0,3.0,1.66,0.695,6.23,0.0576,0.0,1.9808333333333337,17.0,58.2,7480.0,0.0748,0.00588,3.86,53.8,3.620625000565744,8.703666667
52,1.0,2.0,1.69,0.742,6.47,0.0986,1.0,1.8975,619.0,57.6,7110.0,0.84,0.0845,5.27,49.4,7.172874999923492,4.759125
53,1.0,1.0,1.69,0.742,6.47,0.0986,1.0,1.8975,619.0,57.6,7110.0,0.84,0.0845,5.27,49.4,7.172875000335892,5.99
54,1.0,4.0,1.7,0.722,7.43,0.0965,1.0,1.8975,619.0,57.6,7110.0,0.84,0.0845,5.27,49.4,7.172875000393942,4.735
55,1.0,3.0,1.7,0.722,7.43,0.0965,1.0,1.8975,619.0,57.6,7110.0,0.84,0.0845,5.27,49.4,7.17287499976046,9.22475
56,2.0,2.0,1.64,0.744,4.99,0.0722,1.0,1.8975,619.0,57.6,7110.0,0.84,0.0845,5.27,49.4,3.808624999998934,3.03725
57,2.0,1.0,1.64,0.744,4.99,0.0722,1.0,1.8975,619.0,57.6,7110.0,0.84,0.0845,5.27,49.4,3.808625000002399,3.55625
58,2.0,4.0,1.63,0.75,4.19,0.0703,1.0,1.8975,619.0,57.6,7110.0,0.84,0.0845,5.27,49.4,3.8086249999474657,3.09925
59,2.0,3.0,1.63,0.75,4.19,0.0703,1.0,1.8975,619.0,57.6,7110.0,0.84,0.0845,5.27,49.4,3.8086250005900957,9.905666667
60,1.0,2.0,1.79,0.639,5.09,0.0458,0.0,2.410833333333333,58.8,56.3,7300.0,0.0629,0.00188,7.64,68.3,5.507280650144469,8.47337265
61,1.0,1.0,1.79,0.639,5.09,0.0458,0.0,2.410833333333333,58.8,56.3,7300.0,0.0629,0.00188,7.64,68.3,5.507280650050362,8.76018815
62,1.0,4.0,1.76,0.57,10.4,0.0741,0.0,2.410833333333333,58.8,56.3,7300.0,0.0629,0.00188,7.64,68.3,5.507280650054547,7.306461525
63,1.0,3.0,1.76,0.57,10.4,0.0741,0.0,2.410833333333333,58.8,56.3,7300.0,0.0629,0.00188,7.64,68.3,5.5072806499970115,5.702023025
64,2.0,2.0,1.73,0.682,6.02,0.0261,0.0,2.410833333333333,58.8,56.3,7300.0,0.0629,0.00188,7.64,68.3,1.9789999999024752,0.972
65,2.0,1.0,1.73,0.682,6.02,0.0261,0.0,2.410833333333333,58.8,56.3,7300.0,0.0629,0.00188,7.64,68.3,1.9790000000093022,2.063625
66,2.0,4.0,1.76,0.676,4.74,0.0182,0.0,2.410833333333333,58.8,56.3,7300.0,0.0629,0.00188,7.64,68.3,1.9789999999378751,1.013
67,2.0,3.0,1.76,0.676,4.74,0.0182,0.0,2.410833333333333,58.8,56.3,7300.0,0.0629,0.00188,7.64,68.3,1.9790000000449697,16.54675
68,1.0,2.0,1.62,0.608,9.41,0.111,0.0,2.3416666666666663,42.2,66.3,7100.0,0.96,0.0193,5.16,66.2,5.896148150431257,3.859531775
69,1.0,1.0,1.62,0.608,9.41,0.111,0.0,2.3416666666666663,42.2,66.3,7100.0,0.96,0.0193,5.16,66.2,5.896148150235131,4.5799654
70,1.0,4.0,1.61,0.604,6.75,0.124,0.0,2.3416666666666663,42.2,66.3,7100.0,0.96,0.0193,5.16,66.2,5.896148149945211,4.12957865
71,1.0,3.0,1.61,0.604,6.75,0.124,0.0,2.3416666666666663,42.2,66.3,7100.0,0.96,0.0193,5.16,66.2,5.896148149734569,6.525640275
72,2.0,2.0,1.77,0.676,5.44,0.0257,0.0,2.3416666666666663,42.2,66.3,7100.0,0.96,0.0193,5.16,66.2,2.367625000010345,1.007
73,2.0,1.0,1.77,0.676,5.44,0.0257,0.0,2.3416666666666663,42.2,66.3,7100.0,0.96,0.0193,5.16,66.2,2.3676250004987316,1.421041667
74,2.0,4.0,1.8,0.666,4.05,0.0183,0.0,2.3416666666666663,42.2,66.3,7100.0,0.96,0.0193,5.16,66.2,2.3676249998659724,0.952375
75,2.0,3.0,1.8,0.666,4.05,0.0183,0.0,2.3416666666666663,42.2,66.3,7100.0,0.96,0.0193,5.16,66.2,2.3676249996598253,17.09033333
76,1.0,2.0,1.69,0.742,5.24,0.0586,0.0,1.9149999999999998,11.0,47.5,7000.0,0.12,0.00834,7.05,37.6,6.62137500033615,2.825875
77,1.0,1.0,1.69,0.742,5.24,0.0586,0.0,1.9149999999999998,11.0,47.5,7000.0,0.12,0.00834,7.05,37.6,6.621374999602237,4.614833333
78,1.0,4.0,1.7,0.704,7.15,0.0591,0.0,1.9149999999999998,11.0,47.5,7000.0,0.12,0.00834,7.05,37.6,6.621374998650199,2.599333333
79,1.0,3.0,1.7,0.704,7.15,0.0591,0.0,1.9149999999999998,11.0,47.5,7000.0,0.12,0.00834,7.05,37.6,6.621374999290964,5.833333333
80,2.0,2.0,1.66,0.721,6.27,0.118,0.0,1.9149999999999998,11.0,47.5,7000.0,0.12,0.00834,7.05,37.6,5.008124999812579,3.098
81,2.0,1.0,1.66,0.721,6.27,0.118,0.0,1.9149999999999998,11.0,47.5,7000.0,0.12,0.00834,7.05,37.6,5.00812499977519,4.10875
82,2.0,4.0,1.65,0.733,5.44,0.112,0.0,1.9149999999999998,11.0,47.5,7000.0,0.12,0.00834,7.05,37.6,5.008125000200597,2.90075
83,2.0,3.0,1.65,0.733,5.44,0.112,0.0,1.9149999999999998,11.0,47.5,7000.0,0.12,0.00834,7.05,37.6,5.008125000115138,7.291166667
84,1.0,2.0,1.69,0.72,7.8,0.15,1.0,1.9274999999999995,11.0,68.9,6870.0,0.0,0.0,2.04,34.7,12.784749999599978,7.859
85,1.0,1.0,1.69,0.72,7.8,0.15,1.0,1.9274999999999995,11.0,68.9,6870.0,0.0,0.0,2.04,34.7,12.784749996926314,13.99283333
86,1.0,4.0,1.69,0.712,8.91,0.143,1.0,1.9274999999999995,11.0,68.9,6870.0,0.0,0.0,2.04,34.7,12.784750000141429,10.05225
87,1.0,3.0,1.69,0.712,8.91,0.143,1.0,1.9274999999999995,11.0,68.9,6870.0,0.0,0.0,2.04,34.7,12.784750000092096,22.544625
88,1.0,2.0,1.72,0.729,6.9,0.129,1.0,2.0825,16.5,81.5,7680.0,0.0336,0.000336,1.34,64.1,9.36149999971059,6.944875
89,1.0,1.0,1.72,0.729,6.9,0.129,1.0,2.0825,16.5,81.5,7680.0,0.0336,0.000336,1.34,64.1,9.361500000225892,10.45175
90,1.0,4.0,1.72,0.718,7.8,0.128,1.0,2.0825,16.5,81.5,7680.0,0.0336,0.000336,1.34,64.1,9.361500000351677,7.11275
91,1.0,3.0,1.72,0.718,7.8,0.128,1.0,2.0825,16.5,81.5,7680.0,0.0336,0.000336,1.34,64.1,9.36150000022281,13.184625
92,1.0,2.0,1.67,0.852,5.65,0.0526,0.0,1.799166666666667,19.5,64.6,7540.0,0.00376,0.000691,2.96,70.5,4.837875000143037,2.699875
93,1.0,1.0,1.67,0.852,5.65,0.0526,0.0,1.799166666666667,19.5,64.6,7540.0,0.00376,0.000691,2.96,70.5,4.837874999943982,2.549875
94,1.0,4.0,1.66,0.843,6.28,0.0498,0.0,1.799166666666667,19.5,64.6,7540.0,0.00376,0.000691,2.96,70.5,4.837874999908217,2.399625
